会社コード,店舗コード,日付,伝票no,明細no,処理区分,処理名称,時分,処理種別１,処理種別２,処理番号,担当者コード,顧客コード,性別,年齢,会員ランク,地区,加算ポイント,使用ポイント,喪失ポイント,手入力ポイント,カードポイント,預かりポイント,商品コード,商品名,ＪＡＮ,単価,数量,合計金額,現在庫,移動平均金額,原価,税種別,受取現金,単価修正,受取現金種別,仕入先,メーカー,サブジャンル,カードno,カード会社no,カード内容,カード金額,クレジット,リボ,外税税金,内税税金,預かり金,移動先,切出日時,更新日時
"20657","0004","2024-11-01",2,1,3,"仕入","09:37:00",2,,,179,"15",0,0,,,,,,,,,"121000031000","薬用養命酒 1L","4987236000065",1700,1,1700,2,1700,1700,"0",,0,"1",15,0,0,,,,,,,,,,,"2024-11-01 09:54:11","2024-11-01 09:59:22"
"20657","0004","2024-11-01",12,1,3,"仕入","10:57:00",2,,,82,"65",0,0,,,,,,,,,"404000470000","ﾊﾟｰﾌｪｸﾄﾏｳｽｳｫｯｼｭ500ml","4595644672004",1490,7,10430,7,1490,1490,"0",,0,"1",65,0,0,,,,,,,,,,,"2024-11-01 10:59:37","2024-11-01 11:08:09"
"20657","0004","2024-11-01",13,1,3,"仕入","10:58:00",2,,,82,"65",0,0,,,,,,,,,"301000122000","ﾌﾟﾚﾐｱﾑ100(ｵｲﾙ) 15ml","4515748001852",3000,20,60000,-9,0,3000,"0",,0,"1",65,0,0,,,,,,,,,,,"2024-11-01 10:59:37","2024-11-01 11:08:09"
"20657","0004","2024-11-01",14,1,3,"仕入","10:59:00",2,,,82,"65",0,0,,,,,,,,,"207001896000","ﾒﾘｭｰｽﾌﾟﾚﾐｱﾑ 90ｶﾌﾟｾﾙ","4515748002118",5400,20,108000,16,5400,5400,"0",,0,"1",65,0,0,,,,,,,,,,,"2024-11-01 10:59:37","2024-11-01 11:08:09"
"20657","0004","2024-11-05",4,1,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"135000051000","H047先とがりﾋﾟﾝｾｯﾄ","4902522700467",178,1,178,1,178,178,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,2,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"136001739000","桐灰はるｶｲﾛ10個入","4901548603721",304,1,304,5,304,304,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,3,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"136001738000","桐灰はるｶｲﾛﾐﾆ10袋","4901548603745",253,1,253,4,253,253,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,4,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"115000053000","ﾂﾑﾗ 麦門冬湯S内服液 30ml×3本","4987138322166",455,1,455,4,455,455,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,5,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"111000154000","★ﾌｪﾐﾆｰﾅ軟膏 15g","4987072009550",554,1,554,1,554,554,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,6,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"515000259000","ﾘﾌﾚ超薄安心ﾊﾟｯﾄﾞ 120cc 20枚","4904585026027",548,5,2740,5,548,548,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,7,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"119000101000","ｽﾏｲﾙ40EX 15ml","4903301393573",270,1,270,1,270,270,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,8,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"402000252000","ﾈｸｽｹｱ不織布ﾃｰﾌﾟ ﾌﾞﾗｳﾝ22mm*5m","4987580212725",221,1,221,2,221,221,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,9,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"402000022000","JVPｻｰｼﾞｶﾙﾃｰﾌﾟ 25mm×9m","4560236200965",108,1,108,2,108,108,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",4,10,3,"仕入","10:41:00",2,,,188,"168",0,0,,,,,,,,,"402000110000","ｹｱﾘｰｳﾞ M 20枚 CL-20M","4987167035457",206,1,206,4,206,206,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 10:53:16","2024-11-05 10:57:15"
"20657","0004","2024-11-05",18,1,3,"仕入","12:17:00",2,3,,188,"168",0,0,,,,,,,,,"100000144000","ｽｸﾗｰﾄ胃腸薬 顆粒 34包","4903301177203",-1230,-1,-1230,0,1230,-1230,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 12:23:17","2024-11-05 12:27:39"
"20657","0004","2024-11-05",18,2,3,"仕入","12:17:00",2,3,,188,"168",0,0,,,,,,,,,"111000347000","ﾌﾚﾃﾞｨCCｸﾘｰﾑ 10g","4987241116553",-792,-1,-792,0,792,-792,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-05 12:23:17","2024-11-05 12:27:39"
"20657","0004","2024-11-05",44,1,3,"仕入","17:44:00",2,3,,188,"23",0,0,,,,,,,,,"138000002000","ｿﾌﾄｻﾝﾃｨｱ 4本1箱","4987084128225",-368,-5,-1840,1,368,-368,"0",,0,"1",23,0,0,,,,,,,,,,,"2024-11-05 17:53:14","2024-11-05 17:57:42"
"20657","0004","2024-11-05",45,1,3,"仕入","17:45:00",2,,,188,"15",0,0,,,,,,,,,"138000002000","ｿﾌﾄｻﾝﾃｨｱ 4本1箱","4987084128225",368,5,1840,6,368,368,"0",,0,"1",15,0,0,,,,,,,,,,,"2024-11-05 17:53:14","2024-11-05 17:57:42"
"20657","0004","2024-11-06",8,1,3,"仕入","09:59:00",2,,,179,"15",0,0,,,,,,,,,"138000002000","ｿﾌﾄｻﾝﾃｨｱ 4本1箱","4987084128225",368,5,1840,11,368,368,"0",,0,"1",15,0,0,,,,,,,,,,,"2024-11-06 09:59:44","2024-11-06 10:08:25"
"20657","0004","2024-11-06",17,1,3,"仕入","12:13:00",2,,,179,"23",0,0,,,,,,,,,"207001963000","いわしで健康 みそ味ﾊﾟｳﾁ 90g","4902560041911",151,3,453,3,151,151,"0",,0,"1",23,0,0,,,,,,,,,,,"2024-11-06 12:29:46","2024-11-06 12:38:05"
"20657","0004","2024-11-06",17,2,3,"仕入","12:13:00",2,,,179,"23",0,0,,,,,,,,,"207001964000","胡麻麦茶 350ml","4901777235533",136,5,680,5,136,136,"0",,0,"1",23,0,0,,,,,,,,,,,"2024-11-06 12:29:46","2024-11-06 12:38:05"
"20657","0004","2024-11-06",26,1,3,"仕入","16:30:00",2,,,82,"65",0,0,,,,,,,,,"301000122000","ﾌﾟﾚﾐｱﾑ100(ｵｲﾙ) 15ml","4515748001852",3000,20,60000,3,3000,3000,"0",,0,"1",65,0,0,,,,,,,,,,,"2024-11-06 16:59:43","2024-11-06 17:07:52"
"20657","0004","2024-11-06",27,1,3,"仕入","16:46:00",2,,,82,"65",0,0,,,,,,,,,"301000122000","ﾌﾟﾚﾐｱﾑ100(ｵｲﾙ) 15ml","4515748001852",3000,7,21000,10,3000,3000,"0",,0,"1",65,0,0,,,,,,,,,,,"2024-11-06 16:59:43","2024-11-06 17:07:52"
"20657","0004","2024-11-07",14,1,3,"仕入","11:11:00",2,,,179,"67",0,0,,,,,,,,,"118000108000","ﾘﾎﾟﾋﾞﾀﾝD 100ml","4987306003477",105,500,52500,659,105,105,"0",,0,"1",67,0,0,,,,,,,,,,,"2024-11-07 11:31:07","2024-11-07 11:37:08"
"20657","0004","2024-11-08",2,1,3,"仕入","09:41:00",2,,,179,"15",0,0,,,,,,,,,"121000031000","薬用養命酒 1L","4987236000065",1700,1,1700,2,1700,1700,"0",,0,"1",15,0,0,,,,,,,,,,,"2024-11-08 09:54:18","2024-11-08 09:56:59"
"20657","0004","2024-11-08",4,1,3,"仕入","09:41:00",2,,,179,"15",0,0,,,,,,,,,"207001258000","ｽｳｨｰﾄﾏｰﾋﾞｰ 紅茶 ｷｬﾝﾃﾞｨ 49g","4534551012121",182,1,182,1,182,182,"0",,0,"1",15,0,0,,,,,,,,,,,"2024-11-08 09:54:18","2024-11-08 09:56:59"
"20657","0004","2024-11-08",5,1,3,"仕入","09:42:00",2,,,179,"15",0,0,,,,,,,,,"207001257000","ｽｳｨｰﾄﾏｰﾋﾞｰ 珈琲ｷｬﾝﾃﾞｨ 49g","4534551012152",182,1,182,1,182,182,"0",,0,"1",15,0,0,,,,,,,,,,,"2024-11-08 09:54:18","2024-11-08 09:56:59"
"20657","0004","2024-11-08",5,2,3,"仕入","09:42:00",2,,,179,"15",0,0,,,,,,,,,"207001255000","ｽｳｨｰﾄﾏｰﾋﾞｰ ﾌﾙｰﾂﾐｯｸｽｷｬﾝﾃﾞｨｰ49g","4534551012091",182,1,182,1,182,182,"0",,0,"1",15,0,0,,,,,,,,,,,"2024-11-08 09:54:18","2024-11-08 09:56:59"
"20657","0004","2024-11-08",24,1,3,"仕入","14:41:00",2,,,179,"168",0,0,,,,,,,,,"116000325000","ﾋﾞﾀﾐﾝC2000 100錠","4987910002897",1008,1,1008,1,1008,1008,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-08 14:54:19","2024-11-08 14:57:46"
"20657","0004","2024-11-08",24,2,3,"仕入","14:41:00",2,,,179,"168",0,0,,,,,,,,,"108000064000","ｲｿｼﾞﾝうがい薬 50ml","4987087041811",421,1,421,1,421,421,"0",,0,"1",168,0,0,,,,,,,,,,,"2024-11-08 14:54:19","2024-11-08 14:57:46"
