otc_id,otc_name,jan_code,otc_unit,otc_celler,otc_maker,otc_elements,備考
1,アージュＮ点鼻薬,4535653003192,30mL,,万協製薬株式会社,クロルフェニラミン、ナファゾリン,R6.10追加
2,アイエースＶクール,4987156395005,15mL,常盤薬品工業株式会社,ロート製薬株式会社,クロルフェニラミン,R4.3追加
3,アイキュート,4987128259335,15mL,田辺三菱製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.2追加
4,アイクリスタ１１,4981736222712,15mL,サンドラッググループ,佐賀製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,
5,アイサット抗菌,4987103051701,12mL,,ゼリア新薬工業株式会社,クロルフェニラミン,
6,アイスラブゲル,4987241105274,100g,ロート製薬株式会社,ロート製薬株式会社,サリチル酸グリコール,
7,アイセブンＦＸ,4987399035690,12mL,テイカ製薬株式会社,テイカ製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
8,アイソルトＦＸ,4987399032361,12mL,テイカ製薬株式会社,テイカ製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
9,アイソルトＦＸ,4589999015418,12mL,ゲンキー株式会社,テイカ製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.12追加
10,アイダム４０ＤＸ,4987154603645,15mL,グレートアンドグランド株式会社,キョーリン リメディオ株式会社,クロルフェニラミン、テトラヒドロゾリン,
11,アイダムＡＬクール,4987154601641,15mL,グレートアンドグランド株式会社,キョーリン リメディオ株式会社,クロルフェニラミン、テトラヒドロゾリン,
12,アイビットＶα,4987399032156,15mL,テイカ製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.2追加
13,アイビットＦＸ,4987399032378,12mL,テイカ製薬株式会社,テイカ製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
14,アイビットＦＸα,4987399032354,12mL,テイカ製薬株式会社,テイカ製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
15,アイビット目薬クール,4987399028746,10mL,テイカ製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.2追加
16,アイビット目薬クール,4987399028807,12mL,テイカ製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.2追加
17,アイブルーＡＧ,49563559,15mL,カイゲンファーマ株式会社,キョーリン リメディオ株式会社,クロルフェニラミン、テトラヒドロゾリン,
18,アイメディック抗菌目薬,4981736224419,13mL,サンドラッググループ,佐賀製薬株式会社,クロルフェニラミン,
19,アイユニー,4987336761866,36錠,,小林薬品工業株式会社,アセトアミノフェン,
20,アイユニーピュア,4987336769060,36錠,,小林薬品工業株式会社,アセトアミノフェン,
21,アイユニーピュア,4987336769084,120錠,,小林薬品工業株式会社,アセトアミノフェン,
22,アイリス,4987306001213,14mL,大正製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.6追加
23,アイリス　フォン　ブレイク,4987306012042,12mL,大正製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.10追加
24,アイリス　フォン　リフレッシュ,4987306012080,12mL,大正製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.10追加
25,アイリス４０,4987306001251,14mL,大正製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.2追加
26,アイリスＡＧクール,4987306001206,14mL,大正製薬株式会社,テイカ製薬株式会社,クロルフェニラミン,R5.3追加
27,アイリスＡＧコンタクト,4987306011144,0.4ｍL×18本,大正製薬株式会社,ファーマパック株式会社,クロルフェニラミン,R5.12追加
28,アイリスＡＧユニット,4987306001220,0.4ｍL×18本,大正製薬株式会社,ファーマパック株式会社,クロルフェニラミン,R4.12追加
29,アイリッチ　チアルージュ,4981736125310,13mL,佐賀製薬株式会社,佐賀製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,
30,アイリッチ　チアルージュ,4981736365310,13mL,株式会社カメガヤ,佐賀製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,
31,アイリッチ４０プレミアム,4981736234319,15mL,株式会社クリエイト・エスディー,佐賀製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
32,アイルビーナＶ,4987627130036,15mL,第一薬品工業株式会社,テイカ製薬株式会社,クロルフェニラミン,R4.12追加
33,アイルビーナＳ,,15mL,第一薬品工業株式会社,第一薬品工業株式会社,クロルフェニラミン,R4.4追加　JANコードなし
34,アイレンチック,4987387590439,40g,三笠製薬株式会社,三笠製薬株式会社,サリチル酸メチル,
35,アウゲ４０ＥＸ,4987154625647,15mL,オールジャパンドラッグ株式会社,キョーリン リメディオ株式会社,クロルフェニラミン、テトラヒドロゾリン,
36,アウゲＡＬ,4987154600200,15mL,オールジャパンドラッグ株式会社,キョーリン リメディオ株式会社,クロルフェニラミン、テトラヒドロゾリン,
37,アウゲＦＸ,4987154663687,15mL,オールジャパンドラッグ株式会社,キョーリン リメディオ株式会社,クロルフェニラミン、テトラヒドロゾリン,
38,アウゲＰＣα,4987154606806,15mL,オールジャパンドラッグ株式会社,キョーリンリメディオ株式会社,クロルフェニラミン、ナファゾリン,R6.9追加
39,アウチレスＥα,4987475118514,140枚,株式会社大石膏盛堂,株式会社大石膏盛堂,サリチル酸メチル,
40,アウチレス温膏,4987475119382,168枚,株式会社大石膏盛堂,株式会社大石膏盛堂,サリチル酸メチル,
41,アクビちゃんのこどもせきどめシロップＡ,4987333023585,120mL,,中北薬品株式会社,クロルフェニラミン、デキストロメトルファン,R6.8追加
42,アクビちゃんのこどもせきどめシロップＧ,4987333023554,120mL,,中北薬品株式会社,クロルフェニラミン、デキストロメトルファン,R6.8追加
43,アクビちゃんのこどもせきどめシロップＰ,4987333023578,120mL,,中北薬品株式会社,クロルフェニラミン、デキストロメトルファン,R6.8追加
44,アクビちゃんのこどもせきどめシロップＳ,4987333023561,120mL,,中北薬品株式会社,クロルフェニラミン、デキストロメトルファン,R6.8追加
45,浅田飴子供せきどめドロップＳ,4987206394378,30錠,,株式会社浅田飴,メチルエフェドリン,
46,浅田飴子供せきどめドロップＧ,4987206394361,30錠,,株式会社浅田飴,メチルエフェドリン,
47,浅田飴こども鼻炎Ｓ,4987206622280,30錠,,株式会社浅田飴,クロルフェニラミン、フェニレフリン,
48,浅田飴せきどめ,4987206010445,36錠,,株式会社浅田飴,メチルエフェドリン,
49,浅田飴せきどめＳＤ,4987206035783,24錠,,株式会社浅田飴,メチルエフェドリン,
50,浅田飴せきどめＬＥ,4987206035752,24錠,,株式会社浅田飴,メチルエフェドリン,
51,浅田飴せきどめＯＧ,4987206035776,24錠,,株式会社浅田飴,メチルエフェドリン,
52,浅田飴せきどめＧＡ,4987206035769,24錠,,株式会社浅田飴,メチルエフェドリン,
53,浅田飴せきどめＣＬ,4987206033710,36錠,,株式会社浅田飴,メチルエフェドリン,
54,アジェンテＥＸソフトカプセル,4582451711002,18ｶﾌﾟｾﾙ,,奥田製薬株式会社,アセトアミノフェン、クロルフェニラミン、メチルエフェドリン,R4.5追加
55,アジェンテＥＸソフトカプセル,4582451711019,36ｶﾌﾟｾﾙ,,奥田製薬株式会社,アセトアミノフェン、クロルフェニラミン、メチルエフェドリン,R4.5追加
56,アジェンテ点鼻薬クール,4571292678414,30mL,,奥田製薬株式会社,クロルフェニラミン、ナファゾリン,
57,アスクロン,4987306002319,24包,大正製薬株式会社,大正製薬株式会社,カルビノキサミン、ノスカピン、メトキシフェナミン,
58,アスゲンかぜ総合錠,4976084053521,40錠,日邦薬品工業株式会社,アスゲン製薬株式会社,アセトアミノフェン、クロルフェニラミン、マオウ,
